,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,1.0,2.0,15.0,4.0,3.0,45.0,5.82,19.0,581.8031496062993,2.0,4.0,4.3,4.1,12.4,1.0,1.212,24.07,6.863,15.8,7.009
31,1.0,2.0,16.0,4.0,4.0,51.0,7.14,19.0,581.8031496062993,2.0,4.5,5.8,6.7,17.0,1.0,1.373,25.03,9.163,11.81,7.483
32,1.0,3.0,1.0,1.0,1.0,27.5,5.77,16.0,581.8031496062993,2.0,3.7,4.3,5.3,13.3,-0.235294118,0.617,16.72,9.091,5.792,4.448
33,1.0,3.0,2.0,1.0,2.0,48.5,6.56,18.0,581.8031496062993,1.0,4.3,5.5,5.6,15.4,0.02173913,0.893,23.96,8.688,6.844,7.698
34,1.0,3.0,3.0,1.0,3.0,38.0,7.19,29.0,581.8031496062993,2.0,4.5,5.3,5.1,14.9,-0.045454545,1.055,24.88,8.958,7.34,6.938
35,1.0,3.0,4.0,1.0,4.0,24.0,5.04,12.0,581.8031496062993,1.0,3.2,4.0,4.6,11.8,0.1,1.227,22.95,10.31,5.764,18.79
36,1.0,3.0,5.0,2.0,1.0,31.0,4.8,13.0,581.8031496062993,1.0,3.4,4.4,4.5,12.3,0.0,0.692,17.77,9.355,6.516,2.284
37,1.0,3.0,6.0,2.0,2.0,51.5,7.68,27.0,581.8031496062993,1.0,4.4,5.4,7.7,17.5,-0.125,0.9331593406593407,19.610494505494504,6.667741758241759,7.944098901098902,6.040153846153846
38,1.0,3.0,7.0,2.0,3.0,44.0,5.51,22.0,581.8031496062993,2.0,4.2,4.5,4.5,13.2,0.357142857,0.87,23.85,10.78,9.925,7.448
39,1.0,3.0,8.0,2.0,4.0,45.0,6.53,20.0,581.8031496062993,1.0,4.3,5.6,6.4,16.3,0.1,0.9331593406593407,19.610494505494504,6.667741758241759,7.944098901098902,6.040153846153846
40,1.0,3.0,9.0,3.0,1.0,41.0,5.93,22.0,581.8031496062993,2.0,3.9,4.0,4.7,12.6,1.0,1.674,29.44,9.458,16.62,2.727
41,1.0,3.0,10.0,3.0,2.0,55.0,5.33,21.0,581.8031496062993,1.0,4.4,4.9,5.0,14.3,0.419354839,1.026,23.28,4.582,11.19,6.194
42,1.0,3.0,11.0,3.0,3.0,44.5,6.46,25.0,581.8031496062993,2.0,4.6,5.0,5.6,15.2,0.214285714,1.021,25.31,6.587,12.07,6.806
43,1.0,3.0,12.0,3.0,4.0,31.5,5.44,19.0,581.8031496062993,4.0,3.6,4.6,4.3,12.5,0.666666667,0.949,23.91,7.373,8.325,6.657
44,1.0,3.0,13.0,4.0,1.0,31.0,5.31,17.0,581.8031496062993,2.0,3.8,4.4,5.0,13.2,1.0,1.104,22.05,5.892,11.84,2.207
45,1.0,3.0,14.0,4.0,2.0,48.5,9.42,38.0,581.8031496062993,3.0,6.0,7.9,11.8,25.7,0.4375,0.684,16.33,7.693,5.703,4.367
46,1.0,3.0,15.0,4.0,3.0,50.0,6.55,18.0,581.8031496062993,2.0,4.1,5.4,5.3,14.8,0.909090909,0.968,21.5,7.272,11.84,6.959
47,1.0,3.0,16.0,4.0,4.0,39.0,6.72,33.0,581.8031496062993,2.0,4.6,4.8,4.8,14.2,0.447368421,1.517,25.09,7.967,12.85,8.845
48,1.0,4.0,1.0,1.0,1.0,37.0,6.48,15.0,581.8031496062993,1.0,3.7,4.4,4.6,12.7,0.04,1.116,21.97,8.967,7.428,1.92
49,1.0,4.0,2.0,1.0,2.0,40.5,7.57,24.0,581.8031496062993,2.0,4.7,6.4,7.2,18.3,-0.071428571,0.812,22.59,8.977,5.677,6.676
50,1.0,4.0,3.0,1.0,3.0,44.0,7.55,36.0,581.8031496062993,3.0,5.7,5.3,7.0,18.0,-0.055555556,1.258,21.58,7.878,5.861,8.409
51,1.0,4.0,4.0,1.0,4.0,65.0,7.55,34.0,581.8031496062993,2.0,5.8,8.0,6.8,20.6,0.157894737,1.116,23.64,8.022,6.959,8.282
52,1.0,4.0,5.0,2.0,1.0,48.5,6.6,21.0,581.8031496062993,1.0,4.5,5.0,5.4,14.9,0.068965517,1.271,23.22,5.018,12.57,2.022
53,1.0,4.0,6.0,2.0,2.0,36.0,8.25,16.0,581.8031496062993,1.0,3.9,5.4,6.6,15.9,0.134615385,1.075,28.61,8.19,9.393,3.643
54,1.0,4.0,7.0,2.0,3.0,31.0,5.28,12.0,581.8031496062993,1.0,3.3,4.1,5.7,13.1,-0.181818182,0.874,20.74,7.294,7.678,4.925
55,1.0,4.0,8.0,2.0,4.0,31.0,5.83,26.0,581.8031496062993,2.0,4.3,4.5,4.8,13.6,0.195121951,0.967,23.56,10.09,9.198,6.434
